Image Name,crater_lat,crater_long,robins_lat,robins_long,MILES,The Result
M1260669909RC_pyr.tif,-6.740384,96.752915,-6.751760000000001,97.0823,22.640600088840436,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.739209,96.816342,-6.751760000000001,97.0823,18.290351141517593,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.73825,96.747598,-6.751760000000001,97.0823,23.011136880126543,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.737013,96.797811,-6.751760000000001,97.0823,19.569293403511395,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.736704,96.757914,-6.751760000000001,97.0823,22.30778301418662,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.736426,96.829301,-6.751760000000001,97.0823,17.411748314539246,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.735745,96.78962800000001,-6.751760000000001,97.0823,20.13529371053284,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.735342999999999,96.82471600000001,-6.751760000000001,97.0823,17.730748169466445,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.734663,96.76374100000001,-6.751760000000001,97.0823,21.91505130133455,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.734478,96.77271999999999,-6.751760000000001,97.0823,21.29985706198473,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.734354,96.749572,-6.751760000000001,97.0823,22.888163152392668,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.733612,96.75317,-6.751760000000001,97.0823,22.6441064516457,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.733179,96.779025,-6.751760000000001,97.0823,20.872718163282705,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.732622,96.767849,-6.751760000000001,97.0823,21.641376720313005,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.731818,96.825767,-6.751760000000001,97.0823,17.675887521153573,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.731756,96.76259499999999,-6.751760000000001,97.0823,22.00530364915865,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.731014,96.81631,-6.751760000000001,97.0823,18.327885337459904,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.730767,96.754858,-6.751760000000001,97.0823,22.540058188258076,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.730519,96.782336,-6.751760000000001,97.0823,20.657864138273222,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.730303,96.785648,-6.751760000000001,97.0823,20.431989261072772,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.730055,96.786858,-6.751760000000001,97.0823,20.350332132658906,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.729158999999999,96.81169399999999,-6.751760000000001,97.0823,18.654255180831797,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.728973,96.780171,-6.751760000000001,97.0823,20.81397663011528,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.728664,96.77335699999999,-6.751760000000001,97.0823,21.282352013311538,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.72854,96.782527,-6.751760000000001,97.0823,20.65487795051922,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.728478,96.80494300000001,-6.751760000000001,97.0823,19.120321304061832,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.728231,96.820545,-6.751760000000001,97.0823,18.054026959352733,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.727767,96.80367,-6.751760000000001,97.0823,19.21161098298305,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.726128,96.79010500000001,-6.751760000000001,97.0823,20.149757656942814,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.726004,96.80125,-6.751760000000001,97.0823,19.387965429323593,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.725571,96.782241,-6.751760000000001,97.0823,20.69127453878756,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.725386,96.763773,-6.751760000000001,97.0823,21.95647227155937,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.724087,96.771383,-6.751760000000001,97.0823,21.443282623806315,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.723623,96.772338,-6.751760000000001,97.0823,21.380806949551257,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.722911999999999,96.776287,-6.751760000000001,97.0823,21.11519765182724,Crater located outside 5 miles range
M1260669909RC_pyr.tif,-6.722664,96.801536,-6.751760000000001,97.0823,19.390786128155746,Crater located outside 5 miles range
