Image Name,crater_lat,crater_long
M1260669909RC_pyr.tif,-6.702904,96.829238
M1260669909RC_pyr.tif,-6.702471,96.828092
M1260669909RC_pyr.tif,-6.7021,96.812171
M1260669909RC_pyr.tif,-6.7021,96.759347
M1260669909RC_pyr.tif,-6.700894,96.800263
M1260669909RC_pyr.tif,-6.700739,96.77928
M1260669909RC_pyr.tif,-6.700059,96.779248
M1260669909RC_pyr.tif,-6.699904,96.831594
M1260669909RC_pyr.tif,-6.699873,96.821214
M1260669909RC_pyr.tif,-6.699718,96.785202
M1260669909RC_pyr.tif,-6.699285,96.806599
M1260669909RC_pyr.tif,-6.6991,96.792844
M1260669909RC_pyr.tif,-6.698822,96.830257
M1260669909RC_pyr.tif,-6.698605,96.792685
M1260669909RC_pyr.tif,-6.697739,96.799148
M1260669909RC_pyr.tif,-6.697677,96.830894
M1260669909RC_pyr.tif,-6.697121,96.790488
M1260669909RC_pyr.tif,-6.696966,96.779853
M1260669909RC_pyr.tif,-6.696966,96.757246
M1260669909RC_pyr.tif,-6.696842,96.776732
M1260669909RC_pyr.tif,-6.695822,96.752024
M1260669909RC_pyr.tif,-6.694709,96.752565
M1260669909RC_pyr.tif,-6.694678,96.819558
M1260669909RC_pyr.tif,-6.694647,96.759061
M1260669909RC_pyr.tif,-6.693564,96.829047
M1260669909RC_pyr.tif,-6.693193,96.756704
M1260669909RC_pyr.tif,-6.693008,96.814304
M1260669909RC_pyr.tif,-6.692544,96.751578
M1260669909RC_pyr.tif,-6.691214,96.800677
M1260669909RC_pyr.tif,-6.69109,96.803574
M1260669909RC_pyr.tif,-6.69075,96.829301
M1260669909RC_pyr.tif,-6.690627,96.793321
M1260669909RC_pyr.tif,-6.69041,96.838981
M1260669909RC_pyr.tif,-6.690379,96.813413
M1260669909RC_pyr.tif,-6.690317,96.796283
M1260669909RC_pyr.tif,-6.689823,96.758456
M1260669909RC_pyr.tif,-6.689266,96.819813
M1260669909RC_pyr.tif,-6.689204,96.810006
M1260669909RC_pyr.tif,-6.688926,96.767244
M1260669909RC_pyr.tif,-6.687812,96.783737
M1260669909RC_pyr.tif,-6.687534,96.760111
M1260669909RC_pyr.tif,-6.687256,96.774503
M1260669909RC_pyr.tif,-6.687225,96.794404
M1260669909RC_pyr.tif,-6.686514,96.836975
M1260669909RC_pyr.tif,-6.686266,96.750973
M1260669909RC_pyr.tif,-6.686081,96.831371
M1260669909RC_pyr.tif,-6.685524,96.824239
M1260669909RC_pyr.tif,-6.685091,96.839236
M1260669909RC_pyr.tif,-6.684751,96.834046
M1260669909RC_pyr.tif,-6.684535,96.818189
M1260669909RC_pyr.tif,-6.684132,96.836625
M1260669909RC_pyr.tif,-6.68373,96.833186
M1260669909RC_pyr.tif,-6.683421,96.786603
M1260669909RC_pyr.tif,-6.682184,96.792907
M1260669909RC_pyr.tif,-6.681813,96.76648
M1260669909RC_pyr.tif,-6.681597,96.834492
M1260669909RC_pyr.tif,-6.681102,96.791952
M1260669909RC_pyr.tif,-6.680978,96.827582
M1260669909RC_pyr.tif,-6.680267,96.82529
M1260669909RC_pyr.tif,-6.680236,96.809751
M1260669909RC_pyr.tif,-6.679618,96.768326
M1260669909RC_pyr.tif,-6.679277,96.804211
M1260669909RC_pyr.tif,-6.679277,96.790583
M1260669909RC_pyr.tif,-6.678133,96.78638
M1260669909RC_pyr.tif,-6.677917,96.835288
M1260669909RC_pyr.tif,-6.677391,96.807013
M1260669909RC_pyr.tif,-6.676494,96.772593
M1260669909RC_pyr.tif,-6.67535,96.805994
M1260669909RC_pyr.tif,-6.674917,96.830161
M1260669909RC_pyr.tif,-6.673896,96.816565
M1260669909RC_pyr.tif,-6.673649,96.839522
M1260669909RC_pyr.tif,-6.673031,96.812203
M1260669909RC_pyr.tif,-6.672041,96.811662
M1260669909RC_pyr.tif,-6.671732,96.755717
M1260669909RC_pyr.tif,-6.67167,96.771829
M1260669909RC_pyr.tif,-6.671515,96.812585
M1260669909RC_pyr.tif,-6.671237,96.81112
M1260669909RC_pyr.tif,-6.670897,96.760334
M1233757731LC_pyr.tif,-2.192344,75.541139
M1233757731LC_pyr.tif,-2.188721,75.564565
M1233757731LC_pyr.tif,-2.163154,75.581252
M1233757731LC_pyr.tif,-2.157617,75.526121
M1233757731LC_pyr.tif,-2.145313,75.612122
M1233757731LC_pyr.tif,-2.143262,75.615716
M1233757731LC_pyr.tif,-2.138682,75.572651
M1233757731LC_pyr.tif,-2.130889,75.624059
M1233757731LC_pyr.tif,-2.128428,75.574256
M1233757731LC_pyr.tif,-2.123164,75.565977
M1233757731LC_pyr.tif,-2.105938,75.658652
M1233757731LC_pyr.tif,-2.105322,75.562062
M1233757731LC_pyr.tif,-2.103887,75.657048
M1233757731LC_pyr.tif,-2.102314,75.58292
M1233757731LC_pyr.tif,-2.100674,75.576502
M1233757731LC_pyr.tif,-2.097666,75.549418
M1233757731LC_pyr.tif,-2.097598,75.556221
M1233757731LC_pyr.tif,-2.097324,75.626113
M1233757731LC_pyr.tif,-2.095547,75.565784
M1233757731LC_pyr.tif,-2.09418,75.645239
M1233757731LC_pyr.tif,-2.086592,75.644661
M1233757731LC_pyr.tif,-2.070869,75.635098
M1233757731LC_pyr.tif,-2.065674,75.630542
M1233757731LC_pyr.tif,-2.063486,75.557505
M1233757731LC_pyr.tif,-2.059727,75.527405
M1233757731LC_pyr.tif,-2.048311,75.607052
M1233757731LC_pyr.tif,-2.043594,75.617513
M1233757731LC_pyr.tif,-2.02999,75.591392
M1233757731LC_pyr.tif,-2.024795,75.587605
M1233757731LC_pyr.tif,-2.020898,75.603586
M1233757731LC_pyr.tif,-2.018232,75.570277
M1233757731LC_pyr.tif,-2.005107,75.608528
M1233799944LC_pyr.tif,-1.609336,69.085824
M1233799944RC_pyr.tif,-1.609291,69.221769
M1233799944LC_pyr.tif,-1.609004,69.082038
M1233799944LC_pyr.tif,-1.608871,69.078636
M1233799944LC_pyr.tif,-1.608805,69.073887
M1233799944LC_pyr.tif,-1.608539,69.064709
M1233799944LC_pyr.tif,-1.608473,69.095772
M1233799944RC_pyr.tif,-1.608389,69.247954
M1233799944RC_pyr.tif,-1.608389,69.225427
M1233799944LC_pyr.tif,-1.607809,69.094745
M1233799944LC_pyr.tif,-1.607477,69.046931
