Lro flight direction	North azimuth	Sub solar azimuth	Image Name
+X	88.78	167.23	M121484381LC_pyr.tif
+X	91.49	181.3	M121491362RC_pyr.tif
+X	91.74	165.05	M121491137RC_pyr.tif
+X	88.74	165.12	M121491137LC_pyr.tif
+X	89.11	181.66	M121491362LC_pyr.tif
+X	91.73	166.32	M121497940RC_pyr.tif
+X	91.55	178.4	M121504893RC_pyr.tif
+X	89.08	178.72	M121504893LC_pyr.tif
+X	88.79	166.41	M121497940LC_pyr.tif
+X	91.8	163.69	M121511473RC_pyr.tif
+X	88.74	163.73	M121511473LC_pyr.tif
+X	91.66	171.32	M121525141RC_pyr.tif
+X	88.93	171.5	M121525141LC_pyr.tif
+X	91.78	164.57	M121531831RC_pyr.tif
+X	89.01	175.66	M121531981LC_pyr.tif
+X	88.77	164.63	M121531831LC_pyr.tif
+X	91.59	175.4	M121531981RC_pyr.tif
+X	91.73	167.13	M121538663RC_pyr.tif
+X	90.28	166.2	M121545421LC_pyr.tif
+X	88.83	167.23	M121538663LC_pyr.tif
+X	93.22	166.1	M121545421RC_pyr.tif
+X	91.58	176.49	M121545570RC_pyr.tif
+X	89.04	176.77	M121545570LC_pyr.tif
+X	89.09	178.6	M123832566LC_pyr.tif
+X	91.5	178.28	M123832566RC_pyr.tif
+X	91.72	129.4	M123839167RC_pyr.tif
+X	88.82	127.98	M123845947LC_pyr.tif
+X	91.75	128.19	M123845947RC_pyr.tif
+X	88.81	129.2	M123839167LC_pyr.tif
+X	91.71	134.41	M123852771RC_pyr.tif
+X	88.9	134.23	M123852771LC_pyr.tif
+X	89.08	162.68	M123859666LC_pyr.tif
+X	91.61	162.59	M123859666RC_pyr.tif
+X	91.74	132.69	M123866341RC_pyr.tif
+X	88.91	132.51	M123866341LC_pyr.tif
+X	89.13	171.3	M123866472LC_pyr.tif
+X	89.13	170.78	M123873261LC_pyr.tif
+X	91.59	171.09	M123866472RC_pyr.tif
+X	91.59	170.58	M123873261RC_pyr.tif
+X	88.82	124.05	M123879853LC_pyr.tif
+X	89.14	175.39	M123886841LC_pyr.tif
+X	91.57	175.12	M123886841RC_pyr.tif
+X	91.81	124.28	M123879853RC_pyr.tif
+X	88.99	141.52	M123893522LC_pyr.tif
+X	91.68	141.65	M123893522RC_pyr.tif
+X	89.13	171.89	M123900401LC_pyr.tif
+X	91.58	171.67	M123900401RC_pyr.tif
-X	269.07	211.22	M126194809RC_pyr.tif
-X	272.45	180.59	M126195039LC_pyr.tif
-X	272.84	211.98	M126194809LC_pyr.tif
-X	269.32	180.24	M126195039RC_pyr.tif
-X	272.71	202.93	M126201680LC_pyr.tif
-X	269.27	190.23	M126201760RC_pyr.tif
-X	269.17	202.28	M126201680RC_pyr.tif
-X	272.61	193.33	M126208539LC_pyr.tif
-X	269.27	192.81	M126208539RC_pyr.tif
-X	269.35	180.62	M126208614RC_pyr.tif
-X	272.49	180.98	M126208614LC_pyr.tif
-X	272.57	190.72	M126201760LC_pyr.tif
-X	272.84	208.34	M126221998LC_pyr.tif
-X	272.58	188.73	M126215352LC_pyr.tif
-X	269.31	188.27	M126215352RC_pyr.tif
-X	269.16	207.63	M126221998RC_pyr.tif
-X	272.68	196.41	M126228884LC_pyr.tif
-X	269.33	187.15	M126222149RC_pyr.tif
-X	272.58	187.59	M126222149LC_pyr.tif
-X	269.27	195.85	M126228884RC_pyr.tif
-X	269.34	186.33	M126228943RC_pyr.tif
-X	272.57	186.76	M126228943LC_pyr.tif
-X	269.17	207.72	M126235572RC_pyr.tif
-X	272.85	208.44	M126235572LC_pyr.tif
-X	269.28	193.83	M126242475RC_pyr.tif
-X	269.36	183.78	M126242537RC_pyr.tif
-X	272.65	194.36	M126242475LC_pyr.tif
-X	272.54	183.33	M126235755LC_pyr.tif
-X	269.36	182.94	M126235755RC_pyr.tif
-X	272.55	184.18	M126242537LC_pyr.tif
-X	269.27	195.26	M126249252RC_pyr.tif
-X	269.35	184.35	M126249321RC_pyr.tif
-X	269.26	196.15	M126256014RC_pyr.tif
-X	272.67	195.82	M126249252LC_pyr.tif
-X	272.55	184.75	M126249321LC_pyr.tif
-X	272.68	196.72	M126256014LC_pyr.tif
-X	272.92	211.98	M126262688LC_pyr.tif
-X	269.34	185.73	M126262877RC_pyr.tif
-X	269.13	211.21	M126262688RC_pyr.tif
-X	272.57	186.16	M126262877LC_pyr.tif
-X	272.77	190.04	M128549479LC_pyr.tif
-X	269.15	189.48	M128549479RC_pyr.tif
-X	272.83	191.27	M128556242LC_pyr.tif
-X	272.71	187.44	M128563110LC_pyr.tif
-X	269.25	186.94	M128563110RC_pyr.tif
-X	269.37	181.97	M128570002RC_pyr.tif
-X	272.57	182.36	M128570002LC_pyr.tif
-X	272.98	193.64	M128576546LC_pyr.tif
-X	269.15	190.68	M128556242RC_pyr.tif
-X	272.73	186.82	M128576699LC_pyr.tif
-X	269.3	186.34	M128576699RC_pyr.tif
-X	269.14	192.99	M128576546RC_pyr.tif
-X	269.25	188.84	M128597007RC_pyr.tif
-X	272.83	189.38	M128597007LC_pyr.tif
-X	269.26	188.51	M128603801RC_pyr.tif
-X	272.91	191.71	M128610521LC_pyr.tif
-X	261.24	182.62	M128583562LC_pyr.tif
-X	272.81	189.05	M128603801LC_pyr.tif
-X	269.19	191.11	M128610521RC_pyr.tif
-X	272.67	184.9	M128610675LC_pyr.tif
-X	269.34	184.46	M128610675RC_pyr.tif
-X	272.8	188.68	M128617380LC_pyr.tif
-X	269.22	190.23	M128624113RC_pyr.tif
-X	269.26	188.16	M128617380RC_pyr.tif
-X	272.88	190.81	M128624113LC_pyr.tif
-X	272.64	183.84	M128624265LC_pyr.tif
-X	269.37	181.1	M130910974RC_pyr.tif
-X	269.37	183.43	M128624265RC_pyr.tif
-X	272.57	181.46	M130910974LC_pyr.tif
-X	269.2	183.75	M130910812RC_pyr.tif
-X	272.84	184.21	M130910812LC_pyr.tif
-X	269.22	183.68	M130917603RC_pyr.tif
-X	272.85	184.14	M130917603LC_pyr.tif
-X	272.56	181.25	M130917774LC_pyr.tif
-X	269.4	181.24	M130924541RC_pyr.tif
-X	272.61	181.61	M130924541LC_pyr.tif
-X	269.24	183.97	M130931169RC_pyr.tif
-X	269.4	180.9	M130917774RC_pyr.tif
-X	269.24	183.73	M130924386RC_pyr.tif
-X	272.87	184.19	M130924386LC_pyr.tif
-X	272.91	184.44	M130931169LC_pyr.tif
-X	269.43	181.27	M130938114RC_pyr.tif
-X	272.64	181.63	M130938114LC_pyr.tif
-X	269.21	184.55	M130944694RC_pyr.tif
-X	273.01	185.04	M130944694LC_pyr.tif
-X	272.82	183.47	M130938011LC_pyr.tif
-X	269.31	183.04	M130938011RC_pyr.tif
-X	272.7	182.25	M130944870LC_pyr.tif
-X	269.41	181.72	M130951673RC_pyr.tif
-X	269.4	181.86	M130944870RC_pyr.tif
-X	272.69	182.11	M130951673LC_pyr.tif
-X	272.92	184.32	M130951524LC_pyr.tif
-X	269.26	183.86	M130951524RC_pyr.tif
-X	272.61	181.15	M130951715LC_pyr.tif
-X	269.3	183.38	M130958339RC_pyr.tif
-X	269.47	180.81	M130951715RC_pyr.tif
-X	272.87	183.83	M130958339LC_pyr.tif
-X	272.61	181.24	M130965290LC_pyr.tif
-X	269.46	180.89	M130965290RC_pyr.tif
-X	269.44	181.2	M130958490RC_pyr.tif
-X	272.64	181.56	M130958490LC_pyr.tif
-X	269.22	184.34	M130971847RC_pyr.tif
-X	272.68	182.01	M130972020LC_pyr.tif
-X	272.99	184.82	M130971847LC_pyr.tif
-X	269.41	181.64	M130972020RC_pyr.tif
-X	269.21	184.52	M130978620RC_pyr.tif
-X	269.39	181.85	M130978795RC_pyr.tif
-X	273.01	185.01	M130978620LC_pyr.tif
-X	272.7	182.24	M130978795LC_pyr.tif
-X	90.25	179.22	M134455994RC_pyr.tif
-X	87.72	179.51	M134455994LC_pyr.tif
-X	92.79	176.08	M134469717RC_pyr.tif
-X	89.84	176.28	M134469717LC_pyr.tif
-X	87.62	178.44	M134462828LC_pyr.tif
-X	90.28	178.18	M134462828RC_pyr.tif
-X	87.48	176.9	M134496823LC_pyr.tif
-X	90.33	176.69	M134496823RC_pyr.tif
-X	87.42	176.18	M134503640LC_pyr.tif
-X	90.22	179.01	M134483146RC_pyr.tif
-X	87.67	179.3	M134483146LC_pyr.tif
-X	90.36	176	M134503640RC_pyr.tif
-X	90.42	169.35	M136803874RC_pyr.tif
-X	90.25	177.49	M136810518RC_pyr.tif
-X	87.4	169.46	M136803874LC_pyr.tif
-X	87.63	177.77	M136810518LC_pyr.tif
-X	87.43	171.9	M136824187LC_pyr.tif
-X	87.5	173.82	M136817369LC_pyr.tif
-X	98.59	180.39	M136837611RC_pyr.tif
-X	90.3	173.62	M136817369RC_pyr.tif
-X	96.16	180.74	M136837611LC_pyr.tif
-X	90.32	171.74	M136824187RC_pyr.tif
-X	90.23	175.89	M136844472RC_pyr.tif
-X	90.33	170.22	M136851353RC_pyr.tif
-X	87.44	173.13	M136858091LC_pyr.tif
-X	87.55	176.14	M136844472LC_pyr.tif
-X	90.27	172.94	M136858091RC_pyr.tif
-X	87.37	170.36	M136851353LC_pyr.tif
-X	90.27	173	M136864874RC_pyr.tif
-X	87.45	173.19	M136864874LC_pyr.tif
-X	87.54	176.03	M136871612LC_pyr.tif
-X	90.23	175.78	M136871612RC_pyr.tif
-X	87.61	175.5	M139164746LC_pyr.tif
-X	90.21	175.21	M139164746RC_pyr.tif
-X	90.33	155.07	M139164851RC_pyr.tif
-X	87.42	155.1	M139164851LC_pyr.tif
-X	90.22	176.22	M136878388RC_pyr.tif
-X	87.54	176.48	M136878388LC_pyr.tif
-X	90.21	173.04	M139171534RC_pyr.tif
-X	87.58	173.3	M139171534LC_pyr.tif
-X	87.27	157.2	M139185188LC_pyr.tif
-X	90.14	157.14	M139185188RC_pyr.tif
-X	87.57	174.78	M139178311LC_pyr.tif
-X	90.18	174.5	M139178311RC_pyr.tif
-X	87.38	156.29	M139191977LC_pyr.tif
-X	90.26	156.24	M139191977RC_pyr.tif
-X	87.29	148.65	M139198808LC_pyr.tif
-X	87.43	160.97	M139205517LC_pyr.tif
-X	90.31	148.69	M139198808RC_pyr.tif
-X	87.37	155.27	M139212332LC_pyr.tif
-X	90.23	160.86	M139205517RC_pyr.tif
-X	90.24	158.41	M139225878RC_pyr.tif
-X	90.26	155.24	M139212332RC_pyr.tif
-X	87.39	157.41	M139219107LC_pyr.tif
-X	90.25	157.34	M139219107RC_pyr.tif
-X	87.41	158.49	M139225878LC_pyr.tif
